DateTime,BPM,Target,RHR,steps
2022-06-25 01:51:03,88,0,71,30
2022-06-25 01:51:28,90,0,71,6
2022-06-25 01:52:51,87,0,71,39
2022-06-25 01:53:11,81,0,71,0
2022-06-25 01:53:21,82,0,71,0
2022-06-25 01:53:41,84,0,71,0
2022-06-25 01:54:21,89,0,71,5
2022-06-25 01:54:41,87,0,71,37
2022-06-25 01:54:56,86,0,71,34
2022-06-25 01:56:16,87,0,71,19
2022-06-25 01:56:39,84,0,71,13
2022-06-25 01:56:54,84,0,71,17
2022-06-25 01:57:14,85,0,71,5
2022-06-25 01:58:14,89,0,71,12
2022-06-25 01:58:54,102,0,71,12
2022-06-25 01:59:09,108,0,71,11
2022-06-25 02:00:04,99,0,71,19
2022-06-25 02:00:54,102,0,71,7
2022-06-25 02:00:59,104,0,71,3
2022-06-25 02:01:14,96,0,71,34
2022-06-25 02:01:19,90,0,71,23
2022-06-25 02:03:25,95,0,71,9
2022-06-25 02:03:40,93,0,71,13
2022-06-25 02:03:45,92,0,71,15
2022-06-25 02:04:05,94,0,71,16
2022-06-25 02:05:00,98,0,71,35
2022-06-25 02:05:10,95,0,71,25
2022-06-25 02:05:15,94,0,71,2
2022-06-25 02:05:40,95,0,71,7
2022-06-25 02:07:04,94,0,71,14
2022-06-25 02:07:34,92,0,71,7
2022-06-25 02:07:49,92,0,71,16
2022-06-25 02:08:09,93,0,71,29
2022-06-25 02:08:44,92,0,71,14
2022-06-25 02:09:04,92,0,71,6
2022-06-25 02:09:54,94,0,72,0
2022-06-25 02:10:04,95,0,72,0
2022-06-25 02:10:14,93,0,72,0
2022-06-25 02:10:19,92,0,72,42
2022-06-25 02:10:24,91,0,72,0
2022-06-25 02:10:29,90,0,72,0
2022-06-25 02:10:34,89,0,72,0
2022-06-25 02:10:49,88,0,72,0
2022-06-25 02:11:04,91,0,72,26
2022-06-25 02:11:09,92,0,72,35
2022-06-25 02:11:19,90,0,72,36
2022-06-25 02:12:19,88,0,72,31
2022-06-25 02:12:29,89,0,72,12
2022-06-25 02:12:44,90,0,72,12
2022-06-25 02:12:59,91,0,72,25
2022-06-25 02:13:04,90,0,72,11
2022-06-25 02:13:34,88,0,72,4
2022-06-25 02:13:44,87,0,72,0
2022-06-25 02:13:49,88,0,72,7
2022-06-25 02:13:59,89,0,72,11
2022-06-25 02:14:20,89,0,72,6
2022-06-25 02:14:30,92,0,72,8
2022-06-25 02:14:35,91,0,72,41
2022-06-25 02:14:45,94,0,72,14
2022-06-25 02:15:00,94,0,72,8
2022-06-25 02:15:15,94,0,72,19
2022-06-25 02:15:30,93,0,72,30
2022-06-25 02:15:45,92,0,72,20
2022-06-25 02:15:50,91,0,72,24
2022-06-25 02:16:05,92,0,72,59
2022-06-25 02:16:10,91,0,72,106
2022-06-25 02:16:25,90,0,72,110
2022-06-25 02:16:35,89,0,72,113
2022-06-25 02:16:45,88,0,72,86
2022-06-25 02:16:50,86,0,72,96
2022-06-25 02:17:00,87,0,72,82
2022-06-25 02:17:10,88,0,72,100
2022-06-25 02:17:15,87,0,72,114
2022-06-25 02:17:20,86,0,72,70
2022-06-25 02:17:40,87,0,72,52
2022-06-25 02:17:45,88,0,72,39
2022-06-25 02:17:50,88,0,72,27
2022-06-25 02:17:55,86,0,72,0
2022-06-25 02:18:00,85,0,72,0
2022-06-25 02:18:15,86,0,72,24
2022-06-25 02:18:30,87,0,72,9
2022-06-25 02:18:35,89,0,72,5
2022-06-25 02:19:15,83,0,72,0
2022-06-25 02:19:20,82,0,72,0
